id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a4d630a,1.6493746312524472e-06,0.9981785912230089,4.549974177331313e-05,0.001576896985590987,0.00019736267499573687
7a4bbbd6,0.0013911622055596093,0.9248795157086122,0.000598841032616866,0.07253657047509922,0.0005939105781118953
7a4ac744,0.01229362425891469,0.5464615356815401,0.004336479790790745,0.43631556181168113,0.0005927984570733858
7a4881fa,0.007484986186122214,0.21416905305999429,0.03528208824148468,0.7411833080850518,0.0018805644273468718
7a4aa4a8,0.0007803601193175993,0.800198955933255,0.0020934707736968354,0.19646377258111217,0.0004634405926183526
7a514434,0.0002775586732403483,0.5708960383012854,0.004444945945002722,0.423799691572068,0.0005817655084035546
7a485f72,0.0009323490711413447,0.9500722089168181,0.00011744377054068373,0.04867180445375112,0.00020619378774891438
7a4b8d32,0.0028333213235381184,0.8315168883163997,0.0006823583427010741,0.16438259825567886,0.0005848337616822748
7a47eb3c,3.7604460710504924e-05,0.0036951264208070307,0.0045235712677726475,0.9915856375893936,0.00015806026131631344
7a4be3ae,0.0081466105421871,0.15842177772557986,0.0023285313667400793,0.8173793461522982,0.013723734213194715
7a46a330,0.0071956146091634605,0.21640908806239342,0.0056285736947186355,0.7672647369645049,0.003501986669219864
7a481620,0.009351675264332625,0.4709200375773852,0.014689143698611932,0.5025339325310668,0.002505210928603249
7a49c678,0.017995045785906466,0.47247500941558923,0.007989447164874817,0.5005715340069837,0.0009689636266457351
7a4ea044,0.040170901755185374,0.43640066297576297,0.0076108306587987,0.4937273022551882,0.022090302355064883
7a47aa1e,0.0012027446028297511,0.9409724263799506,0.00039211504330274286,0.057371196810576154,6.151716334103868e-05
7a51aa1e,0.0015834503170166123,0.528464763174679,0.012738740039755095,0.45678766331976883,0.00042538314878043517
7a498be0,0.0026432509107047718,0.35759563452867527,0.007369827645047216,0.6305998892315604,0.001791397684012452
7a4a2848,0.01189528736454521,0.8497511391685959,0.001643976950998489,0.13657136205765452,0.00013823445820572268
7a4c4cd6,0.04991488990817552,0.45334363502412545,0.013729172247999912,0.4828253489687531,0.000186953850945956
7a465038,0.22241889439277332,0.4432970811693524,0.020346940452866842,0.31124532786983333,0.0026917561151741398
7a4e94aa,0.1671007714242697,0.009623413652524362,0.6397102046816318,0.1817958160253852,0.00176979421618892
7a49f62a,0.005025290974788114,0.04500135942728617,0.12962455431994632,0.8202126221343009,0.0001361731436784966
7a45b6f0,0.001853219099690525,0.9029785122549203,0.0258611890797103,0.06733917266647789,0.001967906899201105
7a50bb90,0.0009482586529015642,0.993934348587325,0.00023887196674670465,0.003900323143285867,0.0009781976497408211
7a4d38e4,0.0003660140537361035,0.8425055280821846,0.0025699224385679438,0.15425348167575972,0.0003050537497515401
7a48a3a6,0.0017850110652703627,0.06454565429294812,0.00887790228451709,0.896438919732158,0.02835251262510617
7a4ebe9e,0.001797907961772787,0.03963395595147799,0.01608187501004676,0.9423448333480049,0.0001414277286976542
7a48352e,0.0018980620427244796,0.5308893213982439,0.002480272670730957,0.4643326531157924,0.00039969077250838524
7a4bfaec,0.004454998665898807,0.97821470611261,0.0007574488371622589,0.01560722333062204,0.000965623053707009
7a51e060,0.002043529800391994,0.8813456591101736,0.006866473102156948,0.10745639558243844,0.002287942404839066
7a4c0f5a,0.003821664352839763,0.9742659514571054,0.0008224327547460449,0.020474746890694673,0.0006152045446139865
7a4b9976,0.9591884815343636,0.017653565659041113,0.014628613487776226,0.008366959407464307,0.00016237991135506654
7a4b27d4,0.6481431765238092,0.01906849503932908,0.3211545010117429,0.011542088146322545,9.173927879617206e-05
7a51c698,0.912071158376154,0.0439835155364111,0.024739934618915955,0.014262536412632518,0.004942855055885973
7a474bb4,0.012563330171056234,0.4703792825892312,0.010426832887965375,0.5056057177324441,0.0010248366193029853
7a480054,0.06934435875044055,0.0631601041640055,0.19675492595772553,0.6676413256962981,0.003099285431530168
7a4a4044,0.0042886693924123415,0.6703021816135142,0.005863125983816074,0.31929441685572574,0.00025160615453177353
7a4c35ca,0.0003812856789915934,0.7985948303336857,0.0004029122527886378,0.2001012234204595,0.0005197483140743242
7a4d3fd8,0.0031657915339978783,0.7733746531790368,0.0026886384329537047,0.20350391654244745,0.01726700031156439
7a4c1a68,1.7372909770905508e-05,0.9940653508829214,0.00011189070350496342,0.005745507155262269,5.98783485406208e-05
7a4eb1c4,0.0008884643352281436,0.9898859124888894,0.00029163994102947597,0.008867387631013003,6.65956038401805e-05
7a4a51ce,0.008503551939482977,0.6132848947811834,0.004020405870191664,0.37233193839669576,0.0018592090124462982
7a4a14fc,0.00422665603001874,0.845680012195527,0.0015057738624135134,0.14834491794215443,0.00024263996988654638
7a5015d2,0.0001877901312144555,0.9804012222550232,0.00025901853190175877,0.019119388449225803,3.258063263491952e-05
7a4ba95c,0.00571684737302468,0.894341065442866,0.0006047760988474041,0.09908542530391515,0.00025188578134634584
7a5101ae,6.739524682287551e-05,0.9888791447741503,0.00010626833409547205,0.010911641630015446,3.55500149158699e-05
7a4d0a22,0.0018403820389567226,0.9181202259485506,0.0009897706002880125,0.07857638487686895,0.0004732365353360219
7a5134ee,0.0009241156645567145,0.779713166171437,0.00046604655919066357,0.21833811538749784,0.0005585562173179471
7a4a85c2,0.027187362851882196,0.28152268801690417,0.006510452716046024,0.6794847391999234,0.005294757215244662
7a514b14,0.012447692274132874,0.21482536389063486,0.011192086643688766,0.7604431611202044,0.0010916960713388388
7a4d0a90,0.055245232881691156,0.1507822677540462,0.175112852605075,0.6151758825172494,0.0036837642419386375
